Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
FOCS,Focus Financial Partners Inc.,27.98,$1.94B,2018,Finance,Investment Managers,https://old.nasdaq.com/symbol/focs
FONR,Fonar Corporation,20.15,$132.49M,1981,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/fonr
FSCT,"ForeScout Technologies, Inc.",36.17,$1.71B,2017,Technology,Computer peripheral equipment,https://old.nasdaq.com/symbol/fsct
FRSX,Foresight Autonomous Holdings Ltd.,1.1,$34.02M,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/frsx
FORM,"FormFactor, Inc.",23.39,$1.77B,2003,Technology,Semiconductors,https://old.nasdaq.com/symbol/form
FORTY,Formula Systems (1985) Ltd.,70.11,$1.07B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/forty
FORR,"Forrester Research, Inc.",40.05,$745.81M,1996,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/forr
FRTA,"Forterra, Inc.",11.02,$711.47M,2016,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/frta
FTNT,"Fortinet, Inc.",105.23,$18B,2009,Technology,Computer peripheral equipment,https://old.nasdaq.com/symbol/ftnt
FBIO,"Fortress Biotech, Inc.",1.97,$136.01M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/fbio
FBIOP,"Fortress Biotech, Inc.",20.4,$20.4M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/fbiop
FTSV,"Forty Seven, Inc.",12.27,$517.98M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ftsv
FTR,Frontier Communications Corporation,0.653,$68.81M,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ftr
FRPH,"FRP Holdings, Inc.",49.82,$491.4M,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/frph
FSBW,"FS Bancorp, Inc.",60.45,$269.18M,2012,Finance,Banks,https://old.nasdaq.com/symbol/fsbw
FSBC,"FSB Bancorp, Inc.",16.8209,$32.64M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fsbc
FTEK,"Fuel Tech, Inc.",0.9901,$23.95M,n/a,Capital Goods,Pollution Control Equipment,https://old.nasdaq.com/symbol/ftek
FCEL,"FuelCell Energy, Inc.",0.72,$139.4M,n/a,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/fcel
FULC,"Fulcrum Therapeutics, Inc.",13.89,$324.2M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/fulc
FLGT,"Fulgent Genetics, Inc.",11.34,$212.18M,2016,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/flgt
AAPL,,,,,,,
MSFT,,,,,,,
GOOGL,,,,,,,
FB,,,,,,,
MMM,,,,,,,
